user_id,item_id,rank,score,model
00054ef786787ef7aa54af20ab36396c,6999009,1,2.295955,pytorch_lightgcn_causal
00054ef786787ef7aa54af20ab36396c,7321794,2,2.010762,pytorch_lightgcn_causal
00054ef786787ef7aa54af20ab36396c,5911914,3,1.872033,pytorch_lightgcn_causal
00054ef786787ef7aa54af20ab36396c,5284203,4,1.680454,pytorch_lightgcn_causal
00054ef786787ef7aa54af20ab36396c,7694047,5,1.640482,pytorch_lightgcn_causal
00054ef786787ef7aa54af20ab36396c,6737464,6,1.431647,pytorch_lightgcn_causal
00054ef786787ef7aa54af20ab36396c,8240587,7,1.336926,pytorch_lightgcn_causal
00054ef786787ef7aa54af20ab36396c,5706773,8,1.245580,pytorch_lightgcn_causal
00054ef786787ef7aa54af20ab36396c,7920226,9,1.137057,pytorch_lightgcn_causal
00054ef786787ef7aa54af20ab36396c,7283905,10,1.108502,pytorch_lightgcn_causal
0020f2d5b3e06ddbcf89b1417949496c,8264403,1,2.837871,pytorch_lightgcn_causal
0020f2d5b3e06ddbcf89b1417949496c,100000000000,2,2.765685,pytorch_lightgcn_causal
0020f2d5b3e06ddbcf89b1417949496c,6001251,3,2.503482,pytorch_lightgcn_causal
0020f2d5b3e06ddbcf89b1417949496c,7421462,4,2.405729,pytorch_lightgcn_causal
0020f2d5b3e06ddbcf89b1417949496c,5464261,5,1.191115,pytorch_lightgcn_causal
0020f2d5b3e06ddbcf89b1417949496c,5853579,6,1.140871,pytorch_lightgcn_causal
0020f2d5b3e06ddbcf89b1417949496c,8058010,7,1.039840,pytorch_lightgcn_causal
0020f2d5b3e06ddbcf89b1417949496c,5089253,8,1.028008,pytorch_lightgcn_causal
0020f2d5b3e06ddbcf89b1417949496c,5963066,9,1.022975,pytorch_lightgcn_causal
0020f2d5b3e06ddbcf89b1417949496c,8240587,10,0.923292,pytorch_lightgcn_causal
002a0b1dfda2ac3873fdf7aec6524055,7421462,1,2.025727,pytorch_lightgcn_causal
002a0b1dfda2ac3873fdf7aec6524055,7437786,2,1.915397,pytorch_lightgcn_causal
002a0b1dfda2ac3873fdf7aec6524055,8051124,3,1.613682,pytorch_lightgcn_causal
002a0b1dfda2ac3873fdf7aec6524055,7596939,4,1.604057,pytorch_lightgcn_causal
002a0b1dfda2ac3873fdf7aec6524055,8264403,5,1.557425,pytorch_lightgcn_causal
002a0b1dfda2ac3873fdf7aec6524055,5284203,6,1.502562,pytorch_lightgcn_causal
002a0b1dfda2ac3873fdf7aec6524055,5464261,7,1.424278,pytorch_lightgcn_causal
002a0b1dfda2ac3873fdf7aec6524055,7283905,8,0.970424,pytorch_lightgcn_causal
002a0b1dfda2ac3873fdf7aec6524055,6703015,9,0.967129,pytorch_lightgcn_causal
002a0b1dfda2ac3873fdf7aec6524055,5963066,10,0.919637,pytorch_lightgcn_causal
003b2cf7a16b8d33da2082863ee15d31,5464261,1,2.619058,pytorch_lightgcn_causal
003b2cf7a16b8d33da2082863ee15d31,8051124,2,1.911762,pytorch_lightgcn_causal
003b2cf7a16b8d33da2082863ee15d31,7283905,3,1.729969,pytorch_lightgcn_causal
003b2cf7a16b8d33da2082863ee15d31,7596939,4,1.719196,pytorch_lightgcn_causal
003b2cf7a16b8d33da2082863ee15d31,7437788,5,1.699449,pytorch_lightgcn_causal
003b2cf7a16b8d33da2082863ee15d31,5853579,6,1.470086,pytorch_lightgcn_causal
003b2cf7a16b8d33da2082863ee15d31,7920226,7,1.277408,pytorch_lightgcn_causal
003b2cf7a16b8d33da2082863ee15d31,8240587,8,1.224419,pytorch_lightgcn_causal
003b2cf7a16b8d33da2082863ee15d31,7421462,9,1.140170,pytorch_lightgcn_causal
003b2cf7a16b8d33da2082863ee15d31,6737464,10,1.112442,pytorch_lightgcn_causal
007597d95f77ce796718c390d3a97d6a,6999009,1,1.799228,pytorch_lightgcn_causal
007597d95f77ce796718c390d3a97d6a,7596939,2,1.680143,pytorch_lightgcn_causal
007597d95f77ce796718c390d3a97d6a,7421462,3,1.676242,pytorch_lightgcn_causal
007597d95f77ce796718c390d3a97d6a,8264403,4,1.617076,pytorch_lightgcn_causal
007597d95f77ce796718c390d3a97d6a,8240587,5,1.582873,pytorch_lightgcn_causal
007597d95f77ce796718c390d3a97d6a,5911914,6,1.490121,pytorch_lightgcn_causal
